chr	pos	pG0	mlp	W	kappa	tau	Qvalue	transcript_id	gene_id	gene_symbol	tss	dist_bp
1	27169200	3.55755351065399e-08	7.44884855878915	6.81585366149309	0	6.81585366149309	0.00416666666666665	ENST00000374084	ENSG00000090020	SLC9A1	27166981	2219
1	57015668	4.35421238954664e-09	8.36109039078449	3.99020630127503	0	3.99020630127503	0.0606060606060606	ENST00000535057	ENSG00000021852	C8B	56966140	49528
1	89361767	5.56350827433701e-12	11.25465126171	4.85715013492556	0	4.85715013492556	0.0185567010309278	ENST00000370456	ENSG00000183347	GBP6	89364059	2292
1	113042822	7.45875212026518e-18	17.1273338256929	13.0788238108397	0	13.0788238108397	0.00416666666666665	ENST00000361127	ENSG00000198799	LRIG2	113073198	30376
1	113051074	6.04089227049684e-09	8.21889890913826	2.88296662306581	0	2.88296662306581	0.213186813186813	ENST00000361127	ENSG00000198799	LRIG2	113073198	22124
1	113248791	6.98423093979165e-09	8.15588140873276	4.4792967162902	0	4.4792967162902	0.0308943089430895	ENST00000307546	ENSG00000081026	MAGI3	113390515	141724
1	218525588	2.93843038140837e-08	7.53188459432455	7.29854441934825	0	7.29854441934825	0.00416666666666665	ENST00000366929	ENSG00000092969	TGFB2	218346235	179353
2	43540125	3.86056620992456e-09	8.41334899485872	6.24978532779823	0	6.24978532779823	0.00416666666666665	ENST00000407351	ENSG00000115970	THADA	43570515	30390
2	148628050	3.57556696202083e-08	7.44665508422531	5.47658188705629	0	5.47658188705629	0.0123076923076924	ENST00000457184	ENSG00000135999	EPC2	148644440	16390
3	49895052	3.20844439852678e-08	7.49370548251343	0	4	2.14552576142351	1	ENST00000434765	ENSG00000164078	MST1R	49895816	764
4	26806736	1.99749962904608e-10	9.69951329266642	4.43621266078134	0	4.43621266078134	0.0356589147286821	ENST00000494628	ENSG00000109689	STIM2	26857678	50942
4	81157098	2.46630436444763e-12	11.6079533285337	3.15003373566704	0	3.15003373566704	0.154716981132075	ENST00000545647	ENSG00000138669	PRKG2	81153732	3366
